"","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"num_critic_for_reviews",15271.4766414781,639.573473650791,66756.6491360269,59481.4141453113,325482.914703472,4065794668.59933,11150176.4135427,568149.581864932,-8.58188949292506,28745.5835683459,2320726838.44667,505.14111356839,143235.312847021,44.9600415918174,7.8907891656743,1859879.53321739
"duration",639.573473650791,515.019963350801,12427.4728854625,5388.10040315229,29818.9818999832,390441921.589019,1163140.34306735,52546.8505936693,1.37470572547291,3263.70934432458,316388765.438587,-29.2338345008108,13323.4539349878,8.77828738955079,1.22535599898206,104317.412477212
"director_facebook_likes",66756.6491360269,12427.4728854625,9311136.77176369,680195.27982826,4286898.04229235,30014104156.8356,138915817.935035,6972293.63350108,-297.32443261873,272983.755176706,11556539979.0516,-1346.83064766344,1616128.18102299,614.228708185126,41.1958118105553,10611159.1140085
"actor_3_facebook_likes",59481.4141453113,5388.10040315229,680195.27982826,3554182.92995552,7389402.87673807,39861647604.3918,76973752.8546251,17622764.1937681,405.881772199393,160256.776551173,20673257069.2756,2170.5542121463,4728770.27705501,130.098950574645,31.3668616986734,10976810.2063353
"actor_1_facebook_likes",325482.914703472,29818.9818999832,4286898.04229235,7389402.87673807,238843150.07093,159070577393.303,426890228.078006,278233989.967839,1817.63147282545,793415.641722793,98773935705.6971,14431.7090350987,27462401.294264,1531.23580014226,313.856525358465,43499627.6145976
"gross",4065794668.59933,390441921.589019,30014104156.8356,39861647604.3918,159070577393.303,4919365408014956,6666578912869.93,318555275668.736,-4721703.09348016,15743132387.8557,1864516847969982,36603618.1159281,80789094131.8294,15806142.5966503,1613824.66064423,552292107410.565
"num_voted_users",11150176.4135427,1163140.34306735,138915817.935035,76973752.8546251,426890228.078006,6666578912869.93,22971360363.7492,727489273.563808,-9996.78667271844,48485983.2039499,2439948226361.19,33410.3476935232,169204261.693145,76640.9615041046,4583.38036928175,1679935283.51054
"cast_total_facebook_likes",568149.581864932,52546.8505936693,6972293.63350108,17622764.1937681,278233989.967839,318555275668.736,727489273.563808,363013434.594431,3154.91493478435,1424079.31604279,183228356690.198,23540.1536557062,55536642.7428012,2153.89974906705,468.155910625465,84279942.9903708
"facenumber_in_poster",-8.58188949292506,1.37470572547291,-297.32443261873,405.881772199393,1817.63147282545,-4721703.09348016,-9996.78667271844,3154.91493478435,4.21682971388038,-67.0239193190342,-2362261.84029625,1.39032243024761,686.928841623344,-0.138164086338474,0.0120202392049849,623.866128020208
"num_user_for_reviews",28745.5835683459,3263.70934432458,272983.755176706,160256.776551173,793415.641722793,15743132387.8557,48485983.2039499,1424079.31604279,-67.0239193190342,168268.596995493,7009701189.1126,72.5594236118415,351889.669623889,140.021671371081,14.2982004538551,3260220.30376694
"budget",2320726838.44667,316388765.438587,11556539979.0516,20673257069.2756,98773935705.6971,1864516847969982,2439948226361.19,183228356690.198,-2362261.84029625,7009701189.1126,3913662961883315,94265412.646917,46074744321.6996,2231602.4338675,2622682.64971963,272380978644.631
"title_year",505.14111356839,-29.2338345008108,-1346.83064766344,2170.5542121463,14431.7090350987,36603618.1159281,33410.3476935232,23540.1536557062,1.39032243024761,72.5594236118415,94265412.646917,99.1604286341083,5399.4731616636,-1.36057580259275,0.771146263632789,64462.1017015263
"actor_2_facebook_likes",143235.312847021,13323.4539349878,1616128.18102299,4728770.27705501,27462401.294264,80789094131.8294,169204261.693145,55536642.7428012,686.928841623344,351889.669623889,46074744321.6996,5399.4731616636,20489480.0602879,490.661516606894,102.537270423547,22594489.6689789
"imdb_score",44.9600415918174,8.77828738955079,614.228708185126,130.098950574645,1531.23580014226,15806142.5966503,76640.9615041046,2153.89974906705,-0.138164086338474,140.021671371081,2231602.4338675,-1.36057580259275,490.661516606894,1.11821661796665,0.0106660090615602,6322.82956359674
"aspect_ratio",7.8907891656743,1.22535599898206,41.1958118105553,31.3668616986734,313.856525358465,1613824.66064423,4583.38036928175,468.155910625465,0.0120202392049849,14.2982004538551,2622682.64971963,0.771146263632789,102.537270423547,0.0106660090615602,0.124218462928833,831.983741948818
"movie_facebook_likes",1859879.53321739,104317.412477212,10611159.1140085,10976810.2063353,43499627.6145976,552292107410.565,1679935283.51054,84279942.9903708,623.866128020208,3260220.30376694,272380978644.631,64462.1017015263,22594489.6689789,6322.82956359674,831.983741948818,456677530.970424
